Transformer,Encoder,Model,Split,R2,MAE,MAPE,MSE,RMSE
RobustScaler,SumEncoder,DecisionTreeRegressor,Train,0.9999888768560856,0.5158578503544173,6.254743414398271e-05,588.1109972896863,18.784743766519995
RobustScaler,SumEncoder,LinearRegression,Test,0.5951593825096935,3602.618003647515,0.25744909794656234,21524180.995038033,4637.11081998977
RobustScaler,SumEncoder,LinearRegression,Train,0.5958075121796158,3600.673224661304,0.25733926514772215,21496522.565163903,4636.286634160327
RobustScaler,SumEncoder,RandomForestRegressor,Test,0.9111248457837113,1202.7710131411056,0.07847858416205802,4719840.6335812565,2164.1632890362484
RobustScaler,SumEncoder,RandomForestRegressor,Train,0.9883069624011268,438.4089074224121,0.028593102196526565,621973.425965994,788.2492491189813
RobustScaler,SumEncoder,SVR,Test,0.0025682061668743207,5739.821843928158,0.4402646894927714,53019888.255948104,7279.288683039436
RobustScaler,SumEncoder,SVR,Train,0.0036229430945915464,5737.417959479374,0.44010564727359797,52989698.6738026,7279.292667319077
StandardScaler,HelmertEncoder,DecisionTreeRegressor,Test,0.8370356647451889,1560.441307787153,0.10022887139728284,8651136.560957305,2934.5238663444466
StandardScaler,HelmertEncoder,DecisionTreeRegressor,Train,0.9999888768560856,0.5158578503544173,6.254743414398271e-05,588.1109972896863,18.784743766519995
StandardScaler,HelmertEncoder,LinearRegression,Test,0.5951593825096936,3602.618003647515,0.2574490979465624,21524180.995038033,4637.11081998977
StandardScaler,HelmertEncoder,LinearRegression,Train,0.5958075121796158,3600.673224661304,0.2573392651477222,21496522.565163903,4636.286634160327
StandardScaler,HelmertEncoder,RandomForestRegressor,Test,0.9118176631602596,1196.2175576225013,0.07801333282327153,4683202.173129667,2156.0386532861135
StandardScaler,HelmertEncoder,RandomForestRegressor,Train,0.9883346316234638,438.97711460318413,0.028669748859271982,620479.6744874691,787.4280925606589
StandardScaler,HelmertEncoder,SVR,Test,0.02002774866672241,5677.787671554051,0.43516291561710635,52091880.53577797,7215.302446202013
StandardScaler,HelmertEncoder,SVR,Train,0.02107229919552491,5675.384434768416,0.4350007874171203,52061824.56787725,7215.275187177138
StandardScaler,OneHotEncoder,DecisionTreeRegressor,Test,0.8486196129443799,1530.8761480023286,0.09857984394137534,8050582.296274841,2831.8272623915427
StandardScaler,OneHotEncoder,DecisionTreeRegressor,Train,0.9999888768560856,0.5158578503544173,6.254743414398271e-05,588.1109972896863,18.784743766519995
StandardScaler,OneHotEncoder,LinearRegression,Test,0.5951593825096936,3602.618003647515,0.2574490979465624,21524180.995038033,4637.11081998977
StandardScaler,OneHotEncoder,LinearRegression,Train,0.5958075121796158,3600.673224661304,0.2573392651477222,21496522.565163903,4636.286634160327
StandardScaler,OneHotEncoder,RandomForestRegressor,Test,0.9118915941175096,1201.2447077575907,0.07836422244695547,4676818.633547055,2154.72697356325
StandardScaler,OneHotEncoder,RandomForestRegressor,Train,0.9883467879296756,439.0835868935345,0.028675947496137576,619767.041348033,787.1216421377834
StandardScaler,OneHotEncoder,SVR,Test,0.02002774866672241,5677.787671554051,0.43516291561710635,52091880.53577797,7215.302446202013
StandardScaler,OneHotEncoder,SVR,Train,0.02107229919552491,5675.384434768416,0.4350007874171203,52061824.56787725,7215.275187177138
StandardScaler,SumEncoder,DecisionTreeRegressor,Test,0.8406701216640393,1545.9661167645518,0.09962858497688712,8449406.104781592,2902.608290697185
StandardScaler,SumEncoder,DecisionTreeRegressor,Train,0.9999888768560856,0.5158578503544173,6.254743414398271e-05,588.1109972896863,18.784743766519995
StandardScaler,SumEncoder,LinearRegression,Test,0.5951593825096936,3602.618003647515,0.2574490979465624,21524180.995038033,4637.11081998977
StandardScaler,SumEncoder,LinearRegression,Train,0.5958075121796158,3600.673224661304,0.2573392651477222,21496522.565163903,4636.286634160327
StandardScaler,SumEncoder,RandomForestRegressor,Test,0.912908278423797,1198.9830953287167,0.07839753192827763,4627672.736627573,2143.8644054256524
StandardScaler,SumEncoder,RandomForestRegressor,Train,0.9884353787378087,438.55931299497536,0.028653341785859737,615131.248460037,783.9733548530903
StandardScaler,SumEncoder,SVR,Test,0.02002774866672241,5677.787671554051,0.43516291561710635,52091880.53577797,7215.302446202013
StandardScaler,SumEncoder,SVR,Train,0.02107229919552491,5675.384434768416,0.4350007874171203,52061824.56787725,7215.275187177138
