P,Q,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
9,7,8.727834930340812,93545.91303105773,76.1774536083532,5.15322061401292,0.01655106562283067,0.9900779331962938,-5348.928725551373,-5420.512715073271
9,8,8.697521202924127,92896.25356351491,75.64841495400238,5.142770480179794,0.01651328172600941,0.9901468401578889,-5340.396445694929,-5411.9804352168285
9,9,8.699878160063234,92947.62097095726,75.69024509035607,5.14365695313363,0.016518072114783348,0.9901413918081784,-5339.04859927597,-5405.519446689162
9,10,8.733266810385139,93659.5654606259,76.27000444676378,5.179670421187427,0.016627544369267454,0.9900658785061204,-5356.493734007764,-5443.417149855785
10,1,8.69238410010223,92784.9312437795,75.55776159916896,5.1390767303052876,0.016487161971388817,0.9901586477019854,-5332.966871210608,-5389.211434406385
10,2,8.726378470656988,93511.81170830697,76.14968380155287,5.167375583866666,0.016580433227397523,0.9900815501966678,-5348.556654898929,-5420.140644420829
10,3,8.76593117113893,94364.00118436383,76.8436491729347,5.20071080270984,0.016691101714525564,0.9899911616309157,-5365.629903093527,-5452.553318941547
10,4,8.7151571974862,93272.16199873273,75.9545293149289,5.166616976150753,0.01658002047586499,0.9901069689493512,-5345.387355333997,-5416.971344855897
10,5,8.738513006866159,93772.16410553922,76.36169715434794,5.173776479694784,0.016602016912702123,0.9900539355869628,-5351.968127114415,-5423.552116636315
10,6,8.742878513085772,93865.97571831745,76.43809097582857,5.181264676718588,0.016628144444723165,0.9900439853383759,-5359.193503637843,-5446.116919485864
10,7,8.758219746074618,94196.26748451969,76.70705821214956,5.1884538961804,0.016650057614218106,0.990008952520129,-5368.491643034635,-5468.1979141544225
10,8,8.701840992761186,92987.13604712347,75.72242349114285,5.15326611953741,0.016535007728397465,0.9901372005911304,-5338.634732899398,-5402.549009258237
10,9,8.719101311587398,93356.23026661559,76.02298881646223,5.169404284618952,0.01658850978052085,0.9900980521410913,-5347.503500328068,-5421.644060904322
10,10,8.713739623765779,93241.13564088591,75.92926355121003,5.172115055245017,0.016593990540601507,0.9901102597996434,-5349.996885456656,-5434.363730250323
