P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
3,6,2,6.25051497283457,47976.65515867259,39.06893742562915,3.45050722776699,0.015152356522169005,0.9963951805197742,-4531.022430354435,-4607.719561985041
3,7,0,6.2509743354943845,47983.70721561563,39.07468014300949,3.456239839461023,0.015193252331622224,0.996394650649733,-4533.202920000938,-4615.013193740252
3,7,1,6.24944364546476,47960.21033798736,39.055545877839876,3.4584953611700935,0.015202652535298095,0.9963964161334233,-4534.60144015646,-4621.52485600448
3,7,2,6.237577110375878,47778.24815928289,38.90736820788508,3.4492236328085712,0.015162040461461813,0.9964100882163205,-4531.933518236344,-4623.970076193072
3,8,0,6.296294690258363,48682.00534303491,39.64332682657561,3.4944626333138378,0.0153358858574287,0.9963421826591154,-4538.944992020568,-4590.0764131076385
3,9,0,6.174452603286389,46816.10615888253,38.123864950230065,3.4212845139458694,0.0150150875957615,0.9964823806305022,-4492.952088179812,-4549.19665137559
3,9,2,6.234578428067262,47732.32091978618,38.869968175721674,3.451973697123258,0.015186257484355307,0.9964135390489611,-4518.752525284618,-4580.110230589103
3,10,0,6.235794369816515,47750.94138699619,38.885131422635375,3.45545766549149,0.015171275888724769,0.9964121399638706,-4521.231476955756,-4587.702324368948
3,10,2,6.2454333281976675,47898.67719714957,39.00543745696217,3.4555326548480205,0.015175396522314989,0.9964010395458733,-4527.024899696406,-4598.608889218305
4,1,0,6.266651126155888,48224.68526177566,39.27091633695088,3.4734958357114976,0.015260381965274647,0.996376544294627,-4537.354600782922,-4614.051732413528
4,1,1,6.219549385226869,47502.47171387883,38.68279455527596,3.432830366410745,0.01506385182962785,0.9964308092169674,-4520.824956901388,-4602.635230640702
4,1,2,6.24274291612591,47857.4184354798,38.97183911684019,3.4500489909918874,0.015162284084199817,0.9964041396033347,-4531.96667437652,-4618.8900902245405
4,2,0,6.2524692018385535,48006.659735285866,39.09337111993963,3.4548616273642416,0.015183141364168191,0.9963929260674387,-4537.790180901954,-4629.826738858682
4,2,1,6.230964046452024,47676.99310036232,38.82491294817778,3.439521523545148,0.015114087500991866,0.9964176962124941,-4531.328291800365,-4628.4779918658
4,2,2,6.280441645858186,48437.1672439127,39.44394726702988,3.4738970193040584,0.015262624131405705,0.9963605790468232,-4534.753386086044,-4590.997949281822
4,3,0,6.224056539592775,47571.34440428244,38.738879808047585,3.45754364349039,0.015184542003771943,0.9964256343331578,-4514.604115076859,-4575.961820381343
4,3,1,6.254875517405724,48043.618382560584,39.12346773824151,3.464022026233766,0.015220178376031344,0.9963901491074523,-4528.7352114002015,-4595.206058813394
4,3,2,6.224383046241904,47576.33560819,38.74294430634367,3.4546303562213647,0.015182538079743466,0.9964252593093255,-4518.732950554579,-4590.316940076478
4,4,0,6.261264989925436,48141.823428553005,39.20343927406593,3.466002487517996,0.015224960305040945,0.9963827702799437,-4535.242780864193,-4611.9399124947995
4,4,1,6.2562064183894766,48064.06582438315,39.1401187494977,3.452436278388457,0.015164480497030843,0.9963886127490638,-4535.257739003362,-4617.068012742676
4,4,2,6.225721751429216,47596.80270859676,38.75961132621883,3.4413041315144866,0.015105765410738714,0.996423721473851,-4525.261116382277,-4612.184532230297
4,5,0,6.237607149610574,47778.70834612799,38.90774295287298,3.445631842762076,0.01514050874563566,0.996410053639285,-4531.945345935059,-4623.981903891787
4,5,1,6.24862328184562,47947.61970382359,39.045292918423165,3.454655572474872,0.015182475809078876,0.9963973621552573,-4538.279020207325,-4635.428720272759
4,5,2,6.23612133673708,47755.94905295116,38.889209326507434,3.4415926590362766,0.015117215751058753,0.9964117637031302,-4535.360251199581,-4637.623093373723
4,6,0,6.268943484911915,48259.973168100005,39.299652417019566,3.4651770727198854,0.0152280018697475,0.9963738928690177,-4532.252848268141,-4593.610553572626
4,6,1,6.234742664702118,47734.835764729825,38.872016095056935,3.4608389409846154,0.01519549477802415,0.9964133500911855,-4520.817222499845,-4587.288069913037
4,6,2,6.230423569753016,47668.72241027965,38.81817785853393,3.463618425528933,0.015217910417525578,0.996418317646911,-4521.115247986229,-4592.699237508129
4,7,0,6.242197132839817,47849.05075554691,38.96502504523364,3.472606411471532,0.015253461944082282,0.996404768325273,-4527.751944670774,-4604.44907630138
4,7,1,6.2482444321072075,47941.805817564506,39.04055848335873,3.454080478325016,0.015180038915423353,0.9963977989929312,-4532.130110099748,-4613.940383839062
4,7,2,6.073593704508809,45299.12771858742,36.888540487449,3.4087248085408803,0.014963548976085215,0.9965963617618373,-4464.5023628157,-4551.42577866372
4,8,0,6.089022421811883,45529.56629748659,37.076194053327825,3.41566855453837,0.014994169933076654,0.9965790473101428,-4472.733415350513,-4564.76997330724
4,8,1,6.2448772955868215,47890.14871255714,38.99849243693579,3.4479332289603564,0.0151492479298495,0.9964016803501832,-4536.806231620924,-4633.955931686359
4,8,2,6.242943435939042,47860.4928900426,38.974342744334336,3.4545754904035872,0.0152017940888884,0.9964039085981998,-4538.045560974695,-4640.308403148837
4,9,0,6.183345006915149,46951.0517227382,38.23375547454252,3.4048170255190833,0.014972031220712306,0.9964722412325857,-4516.486657650944,-4623.8626419337925
4,9,1,6.570574271310784,53015.7640009082,43.17244625481122,3.753793257424864,0.01419767122404314,0.9949337585922182,-4629.668637558516,-4645.0080638846375
4,9,2,6.769007084684505,56266.29308856108,45.819456912509054,3.873889126424462,0.014649919416071333,0.9946231346604235,-4704.74243627165,-4725.195004706478
4,10,0,6.581443262101921,53191.30556626359,43.315395412266824,3.757674006055585,0.01421256609723801,0.9949169836581218,-4637.727976346994,-4663.29368689053
4,10,1,6.517929892436414,52169.62758157545,42.48341008271612,3.7258479964091813,0.01408935978733639,0.9950146162662524,-4615.911560638812,-4646.590413291055
